"Series Code","Indicator Name",,,,"Source"
"DT.AMT.OFFT.CD","PPG, official creditors (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.PBND.CD","PPG, bonds (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.PCBK.CD","PPG, commercial banks (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.PNGB.CD","PNG, bonds (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.PNGC.CD","PNG, commercial banks and other creditors (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.PROP.CD","PPG, other private creditors (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AMT.PRVT.CD","PPG, private creditors (AMT, current US$)",,,,"World Bank, International Debt Statistics."
"DT.AXA.DPPG.CD","Principal arrears, public and publicly guaranteed (current US$)",,,,"World Bank, International Debt Statistics."
"DT.AXA.OFFT.CD","Principal arrears, official creditors (current US$)",,,,"World Bank, International Debt Statistics."
"DT.AXA.PRVT.CD","Principal arrears, private creditors (current US$)",,,,"World Bank, International Debt Statistics."
"DT.AXF.DPPG.CD","Principal forgiven (current US$)",,,,"World Bank, International Debt Statistics."
"DT.AXR.DPPG.CD","Principal rescheduled (current US$)",,,,"World Bank, International Debt Statistics."
"DT.AXR.OFFT.CD","Principal rescheduled, official (current US$)",,,,"World Bank, International Debt Statistics."
"DT.AXR.PRVT.CD","Principal rescheduled, private (current US$)",,,,"World Bank, International Debt Statistics."
"DT.COM.DPPG.CD","Commitments, public and publicly guaranteed (COM, current US$)",,,,"World Bank, International Debt Statistics."
"DT.COM.MIBR.CD","Commitments, IBRD (COM, current US$)",,,,"World Bank, International Debt Statistics."
"DT.COM.MIDA.CD","Commitments, IDA (COM, current US$)",,,,"World Bank, International Debt Statistics."
"DT.COM.OFFT.CD","Commitments, official creditors (COM, current US$)",,,,"World Bank, International Debt Statistics."
"DT.COM.PRVT.CD","Commitments, private creditors (COM, current US$)",,,,"World Bank, International Debt Statistics."
"DT.CUR.DMAK.ZS","Currency composition of PPG debt, Deutsche mark (%)",,,,"World Bank, International Debt Statistics."
"DT.CUR.EURO.ZS","Currency composition of PPG debt, Euro (%)",,,,"World Bank, International Debt Statistics."
"DT.CUR.FFRC.ZS","Currency composition of PPG debt, French franc (%)",,,,"World Bank, International Debt Statistics."
"DT.CUR.JYEN.ZS","Currency composition of PPG debt, Japanese yen (%)",,,,"World Bank, International Debt Statistics."
"DT.CUR.MULC.ZS","Currency composition of PPG debt, Multiple currencies (%)",,,,"World Bank, International Debt Statistics."
"DT.CUR.OTHC.ZS","Currency composition of PPG debt, all other currencies (%)",,,,"World Bank, International Debt Statistics."
"DT.CUR.SDRW.ZS","Currency composition of PPG debt, SDR (%)",,,,"World Bank, International Debt Statistics."
"DT.CUR.SWFR.ZS","Currency composition of PPG debt, Swiss franc (%)",,,,"World Bank, International Debt Statistics."
"DT.CUR.UKPS.ZS","Currency composition of PPG debt, Pound sterling (%)",,,,"World Bank, International Debt Statistics."
"DT.CUR.USDL.ZS","Currency composition of PPG debt, U.S. dollars (%)",,,,"World Bank, International Debt Statistics."
